Time	S1	S2	S3	
7.759	0.01174	0.0966351	0.260169	
7.8132	0.0117679	0.0967115	0.260015	
7.86777	0.0117631	0.096706	0.259812	
7.92273	0.0117857	0.0967573	0.25965	
7.97806	0.0118207	0.0968174	0.259479	
8.03378	0.0118025	0.0968063	0.259248	
8.08988	0.0118137	0.0968298	0.259078	
8.14637	0.0118499	0.096881	0.258906	
8.20326	0.0118482	0.0968829	0.258711	
8.26054	0.0118706	0.0969118	0.25855	
8.31821	0.0119106	0.0969795	0.258413	
8.37629	0.0119257	0.0969978	0.258214	
8.43476	0.0119313	0.0970397	0.258056	
8.49365	0.0119812	0.0971205	0.257909	
8.55294	0.0119888	0.0971394	0.257709	
8.61264	0.0120027	0.0971506	0.257538	
8.67275	0.0120489	0.0971664	0.257375	
8.73329	0.0120334	0.0971325	0.257176	
8.79424	0.0120459	0.0971645	0.257006	
8.85561	0.012089	0.097252	0.256843	
8.91741	0.0120877	0.0972945	0.256652	
8.97964	0.0121325	0.0973602	0.2565	
9.0423	0.0121756	0.0974386	0.256342	
9.1054	0.0121357	0.0974668	0.256116	
9.16893	0.0121656	0.0975159	0.255964	
9.2329	0.0121944	0.0975671	0.255788	
9.29731	0.0121754	0.0975703	0.255598	
9.36217	0.0122267	0.0976358	0.255464	
9.42749	0.0122275	0.0976417	0.255275	
9.49325	0.0122321	0.0976284	0.255074	
9.55947	0.0122618	0.0976917	0.254929	
9.62615	0.0122489	0.097705	0.254707	
9.69329	0.0122972	0.0977534	0.254551	
9.7609	0.0123406	0.0978099	0.254394	
9.82897	0.0123334	0.0978085	0.254206	
9.89752	0.0123859	0.0978686	0.254053	
9.96654	0.0123831	0.0979014	0.253884	
10.036	0.0123915	0.0979326	0.253736	
10.106	0.0124081	0.0980051	0.253561	
10.1765	0.0123895	0.0980299	0.253378	
10.2474	0.0124404	0.098089	0.253246	
10.3189	0.0124315	0.0981335	0.253067	
10.3908	0.012449	0.0981664	0.252882	
10.4633	0.0124487	0.0982359	0.252699	
10.5362	0.0124182	0.0982473	0.2525	
10.6097	0.0124186	0.0982905	0.252371	
10.6836	0.0124146	0.0983204	0.252199	
10.7581	0.0124758	0.0983565	0.252065	
10.8331	0.0125376	0.0984221	0.251913	
10.9086	0.0125694	0.0984509	0.251745	
10.9846	0.0126319	0.0985409	0.251591	
11.0612	0.0126239	0.0985995	0.251401	
11.1383	0.0126744	0.0986805	0.25127	
11.2159	0.0126519	0.0986804	0.251102	
11.2941	0.012704	0.0986673	0.250959	
11.3728	0.0127199	0.0987226	0.250789	
11.452	0.0127212	0.0987802	0.250624	
11.5318	0.0126993	0.0989045	0.250487	
11.6122	0.0126408	0.0989334	0.250305	
11.6931	0.0126645	0.0990121	0.250166	
11.7745	0.0126514	0.0990372	0.249981	
11.8566	0.0127018	0.0990953	0.249857	
11.9392	0.0127063	0.0991296	0.249708	
12.0224	0.0127739	0.099179	0.249588	
12.1061	0.0127744	0.0992303	0.249433	
12.1904	0.0128254	0.099295	0.249296	
12.2753	0.0128231	0.0993366	0.249123	
12.3609	0.0128697	0.0993678	0.24899	
12.4469	0.0128486	0.0994401	0.24882	
12.5336	0.0128498	0.0994669	0.248674	
12.6209	0.0128348	0.09954	0.24849	
12.7088	0.0128386	0.0995462	0.248344	
12.7973	0.012811	0.0996424	0.248191	
12.8865	0.0128373	0.0997026	0.248066	
12.9762	0.0128652	0.0997952	0.247896	
13.0666	0.0129307	0.0998399	0.247744	
13.1576	0.0129326	0.0999051	0.247617	
13.2492	0.0129643	0.0999314	0.247507	
13.3414	0.0129606	0.0999837	0.247346	
